TP_ESCOLA,NU_NOTA_MT,NU_NOTA_CN,NU_NOTA_REDACAO,NU_NOTA_LC
Privada,402.2,537.1,640.0,611.8
Pública,461.6,376.1,600.0,504.4
Pública,426.3,467.8,560.0,540.6
Privada,573.7,454.6,840.0,566.8
Privada,679.3,464.3,700.0,559.2
Pública,509.5,409.1,620.0,529.7
Pública,639.1,484.8,760.0,564.0
Pública,575.8,359.3,420.0,338.7
Pública,361.3,338.7,380.0,512.6
Pública,494.1,479.1,580.0,558.7
Pública,395.8,395.7,320.0,460.4
Privada,605.1,591.5,660.0,516.9
Pública,469.4,396.4,0.0,515.3
Pública,472.8,450.1,440.0,503.3
Pública,718.4,484.2,680.0,573.4
Privada,677.8,614.5,760.0,617.6
Pública,745.5,468.0,920.0,569.8
Privada,456.1,441.5,520.0,541.6
Pública,488.0,403.1,480.0,508.3
Privada,631.2,530.9,640.0,597.5
Pública,465.5,434.3,600.0,578.1
Pública,430.2,518.2,640.0,572.6
Pública,561.4,393.6,700.0,454.6
Privada,706.9,647.6,820.0,618.6
Privada,460.1,480.3,660.0,514.8
Pública,428.4,447.9,0.0,490.5
Pública,602.4,562.9,720.0,593.6
Pública,650.8,542.4,600.0,572.0
Pública,409.0,426.9,300.0,401.1
Privada,674.7,568.3,800.0,567.7
Pública,504.3,526.9,760.0,523.3
Pública,515.2,447.6,480.0,497.2
Pública,520.2,505.6,580.0,524.6
Pública,438.3,429.1,580.0,528.1
Pública,398.9,458.5,600.0,373.6
Pública,482.6,473.0,800.0,538.7
Privada,725.5,594.7,940.0,590.2
Pública,440.1,502.3,920.0,576.7
Pública,484.2,384.5,400.0,404.6
Pública,403.4,381.3,240.0,454.6
Pública,520.9,465.1,540.0,485.8
Privada,612.7,364.4,300.0,518.4
Pública,437.1,486.7,460.0,531.8
Pública,446.9,443.5,600.0,514.1
Pública,451.4,475.8,620.0,486.9
Pública,512.7,364.1,560.0,416.4
Privada,632.2,613.2,780.0,610.4
Pública,542.6,410.4,500.0,512.4
Pública,459.6,536.6,880.0,514.6
Pública,545.6,553.2,600.0,559.4
Pública,522.0,553.6,740.0,579.3
Privada,754.9,575.7,960.0,516.5
Pública,439.1,471.0,520.0,493.8
Pública,446.4,393.9,440.0,516.7
Privada,390.9,494.7,680.0,470.8
Pública,445.0,401.2,0.0,329.8
Pública,475.6,428.8,600.0,514.5
Privada,775.7,586.9,880.0,608.9
Privada,409.9,479.4,720.0,543.0
Pública,413.7,532.9,900.0,479.0
Pública,503.4,413.0,240.0,500.8
Pública,437.8,439.6,440.0,417.1
Pública,467.5,454.1,560.0,531.7
Privada,509.6,489.9,600.0,532.6
Pública,491.8,364.9,520.0,434.1
Privada,526.8,493.6,820.0,587.6
Pública,446.0,387.4,500.0,492.5
Pública,639.4,528.0,400.0,549.2
Privada,461.9,412.7,820.0,517.9
Pública,678.4,467.8,600.0,553.9
Pública,545.4,517.2,720.0,494.4
Pública,416.1,418.2,300.0,484.1
Pública,411.5,371.9,380.0,482.7
Pública,406.8,386.4,500.0,453.9
Pública,518.3,443.2,660.0,422.6
Pública,446.7,488.8,700.0,492.2
Pública,365.7,453.5,480.0,504.4
Privada,443.7,374.1,380.0,453.4
Pública,363.0,444.9,680.0,558.9
Pública,573.5,543.4,760.0,559.8
Pública,455.5,508.0,740.0,611.3
Privada,618.0,527.3,780.0,608.5
Pública,381.9,542.0,560.0,509.0
Pública,537.8,503.3,620.0,442.6
Privada,556.4,497.0,700.0,539.6
Pública,507.8,519.7,600.0,546.2
Pública,558.2,489.5,660.0,568.4
Pública,463.1,424.7,440.0,514.4
Pública,523.0,450.3,480.0,510.5
Privada,393.7,363.5,640.0,512.6
Privada,728.8,590.0,940.0,594.6
Privada,646.0,541.7,840.0,541.1
Pública,433.2,511.7,520.0,546.1
Privada,424.0,473.5,420.0,462.6
Pública,484.3,392.9,560.0,537.4
Pública,379.1,433.9,320.0,444.9
Pública,567.7,490.9,620.0,559.2
Pública,435.0,538.3,680.0,513.8
Privada,628.1,578.9,900.0,611.7
Pública,366.1,351.6,600.0,432.1
Privada,516.6,470.6,560.0,511.1
Privada,884.7,651.5,980.0,647.0
Pública,747.7,530.2,880.0,584.3
Pública,401.4,481.6,680.0,520.4
Pública,589.1,536.6,940.0,579.2
Pública,579.0,588.9,840.0,566.2
Pública,514.8,419.9,640.0,507.3
Pública,390.7,411.7,560.0,507.9
Privada,465.9,352.7,800.0,577.4
Pública,539.6,425.3,620.0,514.9
Pública,498.1,473.8,580.0,536.9
Pública,410.9,433.6,600.0,487.5
Pública,557.9,615.3,700.0,602.7
Pública,452.5,559.2,600.0,616.7
Pública,511.8,451.2,460.0,484.4
Privada,644.0,543.1,900.0,556.1
Pública,484.2,562.3,740.0,499.3
Privada,474.2,432.6,780.0,550.1
Pública,519.4,398.2,700.0,572.9
Pública,480.7,389.3,560.0,533.9
Pública,443.9,408.5,520.0,492.3
Privada,532.6,480.3,600.0,558.6
Pública,557.4,368.6,580.0,489.2
Pública,449.0,485.5,660.0,548.2
Pública,478.7,542.7,940.0,501.2
Pública,550.6,563.3,580.0,541.2
Pública,405.7,340.5,0.0,461.5
Pública,389.0,399.9,560.0,503.3
Pública,439.0,381.6,560.0,347.1
Pública,422.0,389.8,400.0,508.1
Pública,392.7,412.1,560.0,562.9
Privada,545.3,460.6,720.0,521.8
Pública,524.9,527.5,660.0,554.5
Pública,484.6,390.8,0.0,413.5
Privada,610.7,637.7,780.0,611.5
Pública,502.0,540.3,540.0,535.3
Privada,587.9,439.7,560.0,512.7
Pública,469.9,479.6,440.0,519.4
Privada,454.6,536.1,640.0,594.6
Privada,479.4,462.1,640.0,560.4
Privada,648.5,632.4,760.0,661.9
Privada,679.4,629.9,880.0,611.4
Pública,460.9,466.2,480.0,511.1
Pública,695.9,588.6,680.0,602.6
Pública,682.3,576.0,660.0,546.9
Pública,525.0,353.8,580.0,546.7
Pública,359.0,475.0,460.0,481.8
Pública,486.3,375.1,720.0,516.3
Pública,372.3,390.7,500.0,430.1
Privada,730.1,648.6,840.0,600.9
Privada,435.9,446.4,640.0,540.2
Privada,634.0,517.6,720.0,586.2
Privada,687.1,577.7,780.0,559.3
Privada,515.9,472.2,620.0,528.8
Pública,501.0,529.7,600.0,543.7
Pública,379.5,436.2,560.0,485.5
Pública,699.9,573.9,660.0,589.4
Pública,591.0,491.1,560.0,549.5
Privada,506.8,434.7,600.0,576.1
Pública,562.4,517.2,660.0,603.9
Pública,540.6,437.2,680.0,502.2
Pública,397.9,404.0,520.0,509.2
Pública,484.8,404.2,480.0,502.2
